Sample,Fertilizer,Timepoint
Oliver35,No_fertilizer,T2
Oliver36,No_fertilizer,T2
Oliver40,Organic,T2
Oliver41,Organic,T2
Oliver42,Organic,T2
Oliver46,Struvite,T2
Oliver47,Struvite,T2
Oliver48,Struvite,T2
Oliver104,No_fertilizer,T3
Oliver105,No_fertilizer,T3
Oliver106,No_fertilizer,T3
Oliver107,No_fertilizer,T3
Oliver108,No_fertilizer,T3
Oliver109,No_fertilizer,T3
Oliver116,Organic,T3
Oliver117,Organic,T3
Oliver118,Organic,T3
Oliver119,Organic,T3
Oliver120,Organic,T3
Oliver121,Organic,T3
Oliver128,Struvite,T3
Oliver129,Struvite,T3
Oliver130,Struvite,T3
Oliver131,Struvite,T3
Oliver132,Struvite,T3
Oliver133,Struvite,T3
