Sample,Fertilizer,Timepoint,Pielou,shannon,totalspecies
Oliver35,No_fertilizer,T2,0.846786175,5.252221327,494
Oliver36,No_fertilizer,T2,0.827617558,4.836219962,345
Oliver40,Organic,T2,0.797483228,4.482175428,276
Oliver41,Organic,T2,0.781430618,4.185800521,212
Oliver42,Organic,T2,0.83211107,4.916181214,368
Oliver46,Struvite,T2,0.860788812,4.425886463,171
Oliver47,Struvite,T2,0.775417105,4.422810494,300
Oliver48,Struvite,T2,0.817819222,4.811494138,359
Oliver104,No_fertilizer,T3,0.709933537,3.380826988,117
Oliver105,No_fertilizer,T3,0.812410822,3.997045748,137
Oliver106,No_fertilizer,T3,0.811461095,3.806846287,109
Oliver107,No_fertilizer,T3,0.838028707,4.564522274,232
Oliver108,No_fertilizer,T3,0.886666585,4.821763211,230
Oliver109,No_fertilizer,T3,0.709180379,3.2937109,104
Oliver116,Organic,T3,0.747980773,3.481072858,105
Oliver117,Organic,T3,0.74729747,3.470741568,104
Oliver118,Organic,T3,0.819454665,4.361965359,205
Oliver119,Organic,T3,0.830041691,4.680069447,281
Oliver120,Organic,T3,0.803961056,4.500913232,270
Oliver121,Organic,T3,0.847170948,4.422533794,185
Oliver128,Struvite,T3,0.851215246,4.665203411,240
Oliver129,Struvite,T3,0.838146381,4.769354181,296
Oliver130,Struvite,T3,0.867986962,4.735147604,234
Oliver131,Struvite,T3,0.714871939,3.462973418,127
Oliver132,Struvite,T3,0.757207346,3.789024901,149
Oliver133,Struvite,T3,0.750707131,3.594004191,120
